Title,Languages,Score
Proxima,"French, English, Russian, German",6.4
HOPE GAP,English,6.7
Abe,English,6.7
Alaska Is a Drag,English,5.7
Gangaajal,Hindi,7.8
Bobby Jasoos,"Urdu, Hindi",5.5
BluffMaster!,Hindi,6.6
Apaharan,Hindi,7.4
Equinox,English,5.4
Best Leftovers Ever!,English,5.6
Soreike! Anpanman,Japanese,7
Rilu Rilu Fairilu,Japanese,5.1
Dead Run,Japanese,7
The Blue Light,"German, Italian",6.8
Taro no Baka,Japanese,4
Love and Redemption,Chinese,8.3
The Merger,"English, Arabic",6.6
Teenage Kicks,English,6.5
Under the Silver Lake,English,6.5
I Love You Too,English,6
Broke,"English, Spanish",4.6
Backyard Ashes,English,5.4
I Love You Two,Thai,6
The Rope Curse 2,"Mandarin, Min Nan",4.7
War of the sexes,French,5.8
Eclipse,English,6.1
A Love So Beautiful,Chinese,8.1
Cops and Robbers,"Italian, English, French",7.7
A Moment of Romance,Cantonese,7.4
Nobodys Daughter Haewon,English,4.5
Rent-a-Cat,Japanese,6.9
Tai Chi Warriors,English,4.4
Turtles Swim Faster Than Expected,Japanese,6.6
Lizzie,English,5.8
Laplaces Witch,Japanese,5.8
Heroic Duo,"Cantonese, English, Mandarin",5.9
Dragon in Jail,"Cantonese, Mandarin",6
Doomsday: The Sinking of Japan,Japanese,5.6
Confession of Pain,"Mandarin, Cantonese, English",6.5
Butterfly,"Spanish, Gallegan, Latin",7.6
Pray,Japanese,5.2
Move the Grave,Korean,7.1
High Life,English,5.8
Family Affair,English,6.9
Evils Wave,"Swedish, Finnish",7.8
Afro Tanaka,Japanese,6.3
Dewi,Malay,6.7
My Only One,Korean,7.8
Find Me in Your Memory,Korean,7.4
Death to 2020,English,6.8
Monster Run,"Chinese, Cantonese",5.2
Like a Boss,"English, Spanish, French, Russian",4.6
Kishiryu Sentai Ryusoulger The Movie: Time Slip! Dinosaur Panic!!,Japanese,7
Kamen Rider Build NEW WORLD: Kamen Rider Grease,Japanese,7.3
The Last Full Measure,English,6.8
Justice League Dark: Apokolips War,"English, Latin",7.8
Just Mercy,English,7.6
Koki Koki Cilik 2,Indonesian,6.8
Shelldon,English,5.8
The Desire,"Spanish, German",7.9
Last Letter,Mandarin,6.4
Locked,German,4
Reprisal,English,4.3
Claudia de Breij - Oudejaarsconference 2019,Dutch,5.1
Love Song,English,6.8
The Last Tree,English,6.5
Kindred Spirits,English,7.1
Judy & Punch,English,6.8
Baptiste,"English, Dutch, Romanian",7.3
Last Moment of Clarity,English,5.2
Inheritance,English,5.5
DNA,English,3.6
Mayday,English,6.7
