Title,Languages,Score
Dr. Klein,German,7.4
The Eichmann Show,English,6.5
Uncle Buck,English,7
Role Models,English,6.8
Cartel Land,"English, Spanish",7.4
Reality Bites,English,6.6
How to Change the World,English,7.6
Ben and Hollys Little Kingdom,English,7.3
Curious George,English,6.5
Friends with Benefits,English,6.5
Romantics Anonymous,French,6.9
Detective Conan,"Japanese, English",6.8
Jeff Dunham: All Over the Map,English,7.1
Beerfest,"English, German",6.3
Slow West,"English, French",6.9
Moomins on the Riviera,Finnish,6
Shes Funny That Way,English,6.1
A Little Chaos,English,6.5
Vendetta,English,4.7
Dirty Harry,English,7.7
No Escape,"English, French, Thai, Khmer, Mandarin",6.8
Spijt,Dutch,7.1
American Sniper,"English, Arabic",7.3
Jupiter Ascending,"English, Russian",5.3
The Last Kingdom,"English, Latin",8.4
Fifty,English,5.9
Marco Polo: One Hundred Eyes,English,7.8
Big Game,"English, Finnish",5.4
Ashby,English,6.4
Dawn of the Croods,English,6
The Anderssons in Greece,Swedish,4.1
A la mala,Spanish,6.3
Mommy,"French, English",8.1
Trash,"Portuguese, English",7.2
Santas Apprentice,"English, French",6.4
All That Matters Is Past,"Norwegian, Swedish",5.9
F Is for Family,English,8
Making a Murderer,English,8.6
Bobs Broken Sleigh,English,4.7
"Lust, Caution","Mandarin, Japanese, English, Shanghainese, Hindi, Cantonese",7.5
Avengers: Age of Ultron,"English, Korean",7.3
Southpaw,English,7.4
We Are Your Friends,English,6.2
Jackie and Ryan,English,5.8
Sneakers,"English, Russian, Chinese",7.1
Major Payne,"English, Vietnamese",6.3
Balto,English,7.1
Dominion Creek,"Irish, English, Tlingit",6.4
"Elvira, te daría mi vida pero la estoy usando",Spanish,6.5
Den sorte Madonna,"Danish, Polish, Russian",5.2
Kamisama Kiss,"Japanese, English",8.1
Lupin the 3rd TV Special: Seven Days Rhapsody,Japanese,6.5
Lupin the 3rd: The Columbus Files,"English, Japanese",6.7
Lupin the 3rd: Missed by a Dollar,"English, Japanese",7.2
Lupin the Third Part I,"French, German, Italian, Portuguese, Spanish, Japanese",7.9
Lupin the 3rd: Episode 0: The First Contact,Japanese,7.7
The Ridiculous 6,English,4.8
The Mask of Zorro,English,6.7
Friend,Korean,7.3
The Car,English,6.2
Beltracchi: Die Kunst der Fälschung,"German, English, French",7.2
One and Two,English,5.2
Maybe... Maybe Not,German,6.5
Hui Buh - das Schlossgespenst,German,4.7
Horst Schlämmer - Isch kandidiere!,German,4.7
Wild Chicks in Love,German,5.8
Nowhere in Africa,"German, Swahili, English",7.5
Lotto,Danish,5.2
Headhunter,Danish,6.6
Klassefesten,Danish,5.9
Kalde Føtter,Norwegian,4.7
Vice,English,4.2
A Very Murray Christmas,English,5.5
Last Action Hero,English,6.4
Say I Love You,Japanese,6.4
Her,English,8
The Longest Ride,English,7.1
Parental Guidance,English,6
Detectorists,English,8.6
The Change-Up,"English, Ukrainian",6.3
Bridesmaids,"English, Thai, Spanish, French",6.8
Jennys Wedding,English,5.5
My Little Pony Equestria Girls: Friendship Games,English,6.6
Stir of Echoes,"English, Spanish, Korean",7
Amnesiac,,2.7
Im Brent Morin,"English, Sanskrit",6.5
Sensitive Skin,English,7.2
Suspect X,Japanese,7.5
Missing You,Korean,7.7
Midsummers Equation,Japanese,6.6
Thermae Romae II,Japanese,6.1
The Twelve Kingdoms,Japanese,8.1
Hot Tub Time Machine,"English, Russian",6.4
A Bridge Too Far,"English, German, Dutch, Polish, Latin",7.4
Cheech and Chongs The Corsican Brothers,English,4.8
Real Rob,English,6.5
Two Weeks,English,6.4
Divergent,"English, Spanish",6.6
Kuch Kuch Hota Hai,Hindi,7.6
Cymbeline,English,3.7
The Scorpion King,English,5.5
The Spy,German,5.8
Pompeii,English,5.5
The Rite,"English, Welsh, Italian, Latin, Russian, Hungarian",6
Three Wishes for Cinderella,"German, Czech",7.8
The Time Machine,English,6
Selfless,,1.9
A Hard Day,Korean,7.2
The Haunted Hathaways,English,5.2
The Vatican Tapes,"English, Aramaic",4.8
Mortdecai,English,5.5
Carmen Comes Home,Japanese,6.6
Twenty-Four Eyes,Japanese,8.1
Tokyo Story,"Japanese, English",8.2
Some Kind of Beautiful,English,5.7
Marvels Jessica Jones,English,7.9
The Day I Saw Your Heart,French,6.5
Kabhi Alvida Naa Kehna,"Hindi, English",6.1
Naomi and Elys No Kiss List,"English, Spanish",5.5
12 Monkeys,"English, French, German, Chechen, Japanese, Czech",7.7
Scorpion,English,7.1
Huang jin shi dai,Mandarin,6.4
Spanish Affair,"Spanish, Basque",6.5
The Voices,English,6.4
"Conan, The Boy in Future: Kyodaiki Gigant no Fukkatsu",Japanese,8
John Mulaney: The Comeback Kid,English,8
W/ Bob and David,English,7.4
Samurai Hustle,Japanese,6.2
Loves Whirlpool,Japanese,6.4
The Team,"English, French, Flemish, German, Danish, Swedish",7
Yokai Watch: Tanjo no Himitsuda Nyan,"Japanese, English, Portuguese",5.5
Care Bears and Cousins,English,6.8
Master of None,English,8.3
Genome Hazard,Japanese,6.5
Sayonara kabukichô,Japanese,7
Sex Is No Laughing Matter,Japanese,6.3
The Devils Path,Japanese,6.4
The Runner,English,4.7
The Last Shift,English,2.9
Titanics ti liv,Norwegian,5.2
Virus,"English, Japanese, French, German, Spanish, Russian",6.2
Chibi Maruko ChanⅡ,,8.1
The Giver,English,6.5
The Devils Advocate,"English, German, Italian, Mandarin, Spanish",7.5
Chiquititas,Spanish,6.3
Life of Pi,"English, Tamil, Hindi, French",7.9
Unfinished Business,English,5.4
Kingsman: The Secret Service,"English, Arabic, Swedish",7.7
No Game No Life,Japanese,7.8
12 Rounds,English,5.6
Girlfriends Guide to Divorce,English,6.9
Pasión de Gavilanes,Spanish,7.9
Little Lunch,English,8.2
The Water Diviner,"English, Turkish, Greek, Russian",7
Pulse,Japanese,6.6
Himizu,Japanese,7.1
For Loves Sake,Japanese,6.4
Kimi yo fundo no kawa wo watare,Japanese,7
REX Dinosaur Story,Japanese,5.4
Dive!!,Japanese,6.7
The Woodsman and the Rain,Japanese,7.1
Figyua na anata,Japanese,5.3
Another,Japanese,7.6
My Rainy Days,Japanese,7
Shikoku,Japanese,5.5
Bokura no nanoka-kan sensô,Japanese,6.5
Ningen no shômei,"English, Japanese",6.7
Snakes and Earrings,Japanese,6.3
One Missed Call 3: Final,Japanese,5
The Dreamers,"English, French",7.2
犬神家の一族（1976年版）,English,7.8
Be my slave,Japanese,5.2
Sengoku jieitai 1549,Japanese,5.1
Taped,Dutch,6.2
So Undercover,English,5
Wolf Warrior,"English, Mandarin",5.4
Alexander: Directors Cut,English,5.6
Writhing Tongue,Japanese,7
Second Virgin,Japanese,5.7
Popples,English,6.1
Nowitzki: The Perfect Shot,"German, English",7.6
Manson Family Vacation,English,5.9
Ride Along,"English, Ukrainian",6.2
5 Flights Up,English,6.2
Hum Saath-Saath Hain,Hindi,6.2
Astérix: The Mansion of the Gods,French,6.9
Horrible Bosses 2,English,6.3
Tutto tutto niente niente,Italian,5.2
Kika,Spanish,6.5
The Interpreter,"English, Aboriginal, French, Portuguese",6.4
Halloween,English,7.7
Charlie Wilsons War,"English, Dari, Russian, Urdu, Hebrew, Arabic",7
Benvenuto Presidente!,Italian,6.2
Basilicata Coast to Coast,Italian,6.6
Point Break,English,7.3
Bar Sport,Italian,4.9
Cowboy Bebop,"Japanese, English",8.9
Inuyasha: The Final Act,"English, Japanese",8.6
Amazonia,Portuguese,6.5
Magic Snowflake,"French, English",6.3
8 Women,"French, English",7.1
"4 Months, 3 Weeks and 2 Days",Romanian,7.9
A Nightmare on Elm Street,English,5.2
We Are the Night,German,6.2
Valiant,English,5.5
Soldier,English,6.1
Results,"English, Japanese",5.4
Non-Stop,"English, German",6.9
Mindscape,English,6.5
Land of the Lost,English,5.3
My Life,English,6.9
John Wick,"English, Russian, Hungarian",7.4
Funny People,English,6.3
Fear,English,6.3
Freddy vs. Jason,English,5.7
Sleep Tight,Spanish,7.2
Transformers: Robots in Disguise,English,6
The Texas Chainsaw Massacre,English,7.5
Black Lagoon,"Japanese, English, Spanish, Russian",8
The Break-Up,English,5.8
Dragon Ball Z: Battle of Gods,Japanese,7.2
Going Clear: Scientology and the Prison of Belief,English,8
Asterix aux jeux olympiques,"French, Portuguese",5.2
Vis a vis,Spanish,8.2
The Girl Who Leapt Through Time,Japanese,7.7
American Hustle,"English, Arabic",7.2
Berserk: The Golden Age Arc III - The Advent,"Japanese, English",7.9
Red 2,"English, Russian, French, Persian, Korean",6.6
BERSERK: The Golden Age Arc II - The Battle for Doldrey,"Japanese, English",7.8
One Step Behind,"Swedish, Danish",6
Ichi the Killer,"Japanese, Cantonese, English",7
Woman in Gold,"English, German, Hebrew",7.3
Guardianes de Oz,"Spanish, English",4.5
Cop Out,"English, Spanish",5.6
Lego DC Comics: Batman Be-Leaguered,English,6.6
3 coeurs,"French, Chinese",5.9
Z Storm,"Mandarin, Cantonese, English",5.4
Svein og rotta,Norwegian,4.6
The Gunman,"English, Spanish",5.8
It Follows,English,6.8
Beasts of No Nation,"English, Akan",7.7
Anthony Jeselnik: Thoughts and Prayers,English,7.8
Igor,English,6
Circle,English,6
Wild Card,,8.5
United,Norwegian,6.1
Aloha,"English, Hawaiian, Russian",5.4
Linvite,French,5.6
Dikkenek,"French, Flemish",6.9
War of the Insects,Japanese,5
A Song to the Sun,Japanese,7.2
Love Collage,"Japanese, English",6.4
Schools Out,"French, German",6.1
A Good Year,"English, French, Russian",7
UWantMe2KillHim?,English,6.3
Humpty Sharma Ki Dulhania,"Hindi, English",6
Gardeners of Eden,English,8.1
Kajaki: The True Story,English,7.1
The Fifth Estate,"English, Icelandic, Swahili, Arabic",6.2
Suburra,"Italian, Romany, English",7.4
The Signal,English,6.1
"Carrossel, O Filme",Portuguese,5.2
Jane the Virgin,English,7.8
Return To The 36th Chamber,"Cantonese, Mandarin",7
The Mr. Peabody and Sherman Show,English,5.7
The 36th Chamber Of Shaolin,Mandarin,7.7
Winter on Fire,"Ukrainian, Russian, English",8.4
The Five Venoms,Mandarin,7.1
Hero,Hindi,6.1
Five Elements Ninjas,Mandarin,7.3
Hum Aapke Hain Koun,Hindi,7.5
American Heist,English,5
Dying of the Light,"English, Romanian, Arabic",4.5
Two Night Stand,English,6.4
Robocar Poli,Korean,6.5
iZombie,English,7.8
The Flash,English,7.7
Post Grad,English,5.3
Snuf de Hond en het Spookslot,Dutch,6.3
Snuf de Hond en de IJsvogel,Dutch,5.8
Now You See Me,"English, French",7.3
The Salvation,"English, Danish, Spanish",6.7
Dumb and Dumber To,"English, Cantonese",5.6
Anjelah Johnson: Not Fancy,"Spanish, English",5.8
Teenage Mutant Ninja Turtles,English,6.9
Hamburger Hill,"English, French",6.7
Reasonable Doubt,English,5.7
Curse of Chucky,English,5.6
Boogie Nights,English,7.9
The Great British Baking Show,English,8.6
The Face of an Angel,"English, Italian",4.6
The Pyramid,English,4.6
Practical Magic,English,6.3
The Invention of Lying,English,6.4
Deep Blue Sea,"English, Spanish",5.9
Taken 3,"English, Russian",6
Underworld: Rise of the Lycans,English,6.6
Scream,English,7.2
Molière,French,7.2
Ringu,Japanese,7.2
The Virgin Psychics,"Japanese, English",5.4
Modern Times,English,8.5
Limelight,English,8.1
Cure,"Japanese, Spanish",7.4
Finding Mr. Destiny,Korean,6.5
Rashomon,Japanese,8.2
"Josee, the Tiger and the Fish",Japanese,7.4
R2B: Return to Base,Korean,6
The Assault,"French, Arabic",6.1
A Moment to Remember,Korean,8.2
The Great Dictator,"English, Esperanto",8.4
Vengeance Is Mine,"Japanese, English",7.8
New Years Eve,English,5.7
Masquerade,Korean,7.8
Ringu 2,Japanese,5.9
Sweet Whip R-18,Japanese,6
700 Days of battle: us vs. the police,Japanese,7.1
Maps to the Stars,English,6.2
Benidorm,English,7.4
Vampire Sisters 2: Bats in the Belly,German,5.4
Midnights Children,"English, Hindi, Urdu",6.2
Trailer Park Boys: Countdown to Liquor Day,English,7.4
The SpongeBob Movie: Sponge Out of Water,English,6
Repo Men,"English, Spanish",6.3
Pitch Black,"English, Arabic",7.1
Jaws,English,8
Half Baked,"English, Turkish",6.7
Jaws 2,English,5.8
Turbulence,English,4.9
Freedom Writers,"English, Spanish",7.5
Dark Matter,English,7.5
The Gambler,English,6.1
The Loft,English,6.3
Zoo,English,6.8
The Unborn,"English, Hebrew",4.8
Philomena,English,7.6
Selma,English,7.5
Kung Fu Killer,"Cantonese, Mandarin",6.5
The Mortal Instruments: City of Bones,English,5.9
Harry Potter and the Deathly Hallows: Part I,English,7.7
How to Get Away with Murder,"English, Spanish",8.1
Keith Richards: Under the Influence,English,7.1
Ishqiya,Hindi,7.3
Dedh Ishqiya,"Hindi, Urdu",7.1
Totalmente Inocentes,Portuguese,3.2
Até que a sorte nos separe,Portuguese,5.5
E Aí... Comeu?,Portuguese,5.7
Goddotan: Kisu gaman senshuken the Movie,Japanese,4.3
The Judge,English,7.4
Sinatra: All or Nothing at All,English,8
Only Fools and Horses,English,8.9
Cowspiracy,English,8.3
The Tale of Despereaux,English,6.1
Runaway Bride,English,5.6
Natascha Kampusch: The Whole Story,German,6
Scott Pilgrim vs. the World,English,7.5
Life,English,6.8
Its Kind of a Funny Story,English,7.1
Cirque du Freak: The Vampires Assistant,"English, Spanish, French",5.8
Interstellar,English,8.6
Durarara!!,Japanese,7.9
Shiko funjatta,Japanese,7.2
Shitsurakuen,Japanese,6.6
The Age of Adaline,"English, Portuguese, Italian",7.2
6 Years,English,5.6
For the Emperor,Korean,5.7
Madam Secretary,English,7.6
Yakuza: Like a Dragon,"Japanese, Korean",6.2
Infernal Affairs 3,"Cantonese, Mandarin",6.9
Infernal Affairs 2,"Cantonese, English, Mandarin, Thai",7.3
Time Is Illmatic,English,7.1
The Dead Lands,Maori,6.3
The Snow White Murder Case,Japanese,7
Touch,Japanese,6.3
Yamato,Japanese,6.5
The Thing,"English, Norwegian, Danish",6.2
The Vulture,Japanese,6.5
Villain,Japanese,7.1
Unforgiven,English,8.2
Unfair,Japanese,7.2
Wrecked,English,4.4
SOLANIN,Japanese,7
Sakuran,Japanese,6.9
Roommate,Japanese,5.7
The Red Thread,Japanese,6.3
Thermae Romae,"Japanese, Latin",6.4
Paprika,"Japanese, English",7.7
Sucker Punch,"English, German",6
Pacchigi!,"Japanese, Korean",6.8
Ping Pong,"Japanese, Cantonese",7.1
Yowamushi Pedal,Japanese,7.7
Mr. Tadanos Secret Mission,Japanese,5.8
Memories of Tomorrow,Japanese,7.4
Lethal Weapon,English,7.6
PATEMA INVERTED,"Japanese, Esperanto",7.4
Log Horizon,Japanese,7.7
Kamen Rider × Super Sentai Super Hero Taisen,Japanese,7.1
Moryo no Hako,Japanese,5.8
Helter Skelter,Japanese,6.3
The Little House,Japanese,7.2
Heartstrings,Korean,7.2
The Magic Hour,Japanese,7.2
Uchoten Hotel,Japanese,7.1
Terrace House,Japanese,8.2
Hula Girls,Japanese,7.1
Solitary Gourmet,Japanese,7.9
The Great Passage,Japanese,7.2
GTO: Great Teacher Onizuka,Japanese,8.5
Feel the Wind,Japanese,6.7
Fate/stay night,Japanese,7.4
Fall Guy,Japanese,7
Happy flight,Japanese,6.5
Love Exposure,Japanese,8.1
The Place Promised in Our Early Days,Japanese,7
Final Destination,"English, French",6.7
Dear Friends,Japanese,6.6
The Chef of South Polar,Japanese,7.1
New Police Story,"Cantonese, English, Mandarin",7
Crying Out Love in the Center of the World,"Japanese, English",7.2
He Who Cant Marry,Japanese,8.2
Blindly in Love,Japanese,6.5
Brave Story,Japanese,6.6
Battle League: Horumo,Japanese,6
Child by Children,Japanese,6.8
Swallowtail Butterfly,"Japanese, English, Mandarin",7.6
My Love from the Star,Korean,8.2
Battles Without Honor and Humanity Dairi Senso,Japanese,7.4
At-Home Dad,Japanese,6.9
A Beautiful Mind,English,8.2
Indiana Jones and the Kingdom of the Crystal Skull,"English, German, Russian",6.1
Indiana Jones and the Temple of Doom,"English, Sinhalese, Hindi",7.6
A Tale of Samurai Cooking: A True Love Story,Japanese,6.8
Cast Away,"English, Russian",7.8
"We Cant Change the World. But, We Wanna Build a School in Cambodia.",Japanese,6.8
My Life Changed When I Went to a Sex Parlor,Japanese,5.8
Nasu: Summer in Andalusia,Japanese,7
Afro Samurai,"English, French",7.7
Indiana Jones and the Last Crusade,"English, German, Greek, Arabic",8.2
Atelier,Japanese,7.3
Hachi-Ko,Japanese,8.1
Samurai 7,"Japanese, English",7.7
Yakuza Wives,Japanese,6.4
Bakemonogatari,Japanese,8
Dark Shadows,English,6.2
Leave It to the Nurses,Japanese,5.6
Personal Taste,Korean,7.5
Taxi④,Spanish,5.9
Anohana: The Flower We Saw That Day,"Japanese, English",8.2
Ju-on Black Ghost,Japanese,5.4
Ju-on White Ghost,Japanese,6
Blood-C,Japanese,6.3
Terrace House: Boys and Girls in the City,Japanese,8.2
Sleepless Night,French,6.6
Bayside Shakedown 3: Set the Guys Loose,Japanese,5.5
Gekijouban anime Nintama rantarou: Ninjutsu gakuen zenin shutsudou! no dan,Japanese,5.7
5 Centimeters Per Second,Japanese,7.6
My SO Has Depression,Japanese,6.8
Ninja Kids!!!,Japanese,5.8
2001: A Space Odyssey,"English, Russian",8.3
Phone Call to the Bar,Japanese,6.4
Cell 211,"Spanish, Basque, English",7.6
The Detective Is in the Bar,Japanese,6.4
Mad Max 2: The Road Warrior,English,7.6
Yokame no semi,Japanese,7.2
Shiawase no Kiiroi Hankachi,Japanese,7.4
Be with You,Japanese,7.9
The Garden of Words,"Japanese, English",7.5
Ghost in the Shell 2: Innocence,"Japanese, Cantonese, English",7.5
Friday the 13th,English,6.5
10 Promises to My Dog,Japanese,7
Bayside Shakedown,Japanese,6.5
Hankyu Railways: A 15-minute Miracle,Japanese,6.6
Between Calmness and Passion,"Japanese, English, Italian, Cantonese",6.6
Indiana Jones and the Raiders of the Lost Ark,"English, German, Hebrew, Spanish, Arabic, Nepali",8.4
Odoru Daisosasen 2: Bayside Shakedown 2,Japanese,5.8
Northmen - A Viking Saga,"English, Scots",5.4
The Specialist,English,5.6
Addicted,"Spanish, English",5.1
Wild,English,7.1
Mamma Mia!,"English, Greek",6.4
Fools Gold,English,5.7
Body of Lies,"English, Arabic",7.1
Ice Age: Continental Drift,English,6.5
About a Boy,English,7
Exodus: Gods and Kings,English,6
Area 51,English,4.2
Puffin Rock,English,8.7
Trust,English,6.9
Days of Thunder,"English, French",6.1
Quest-ce quon a fait au Bon Dieu?,French,7
Striptease,English,4.5
Selena,"English, Spanish",6.8
The Wizard of Oz,English,8
Heavy Metal,English,6.7
Muppets from Space,English,6.3
In the Line of Fire,English,7.2
Groundhog Day,"English, French, Italian",8
Das Boot: Directors Cut,German,8.3
Blue Lagoon: The Awakening,English,5.5
The Flintstones,English,4.9
Lawrence of Arabia: Restored Version,"English, Arabic, Turkish",8.3
Kramer vs. Kramer,English,7.8
Timmy Time,English,6.9
District 9,"English, Nyanja, Afrikaans, Zulu, Xhosa, Southern Sotho",7.9
Close Encounters of the Third Kind,"English, French, Spanish, Hindi",7.6
The Taking of Pelham 123,"English, Ukrainian",6.4
Just One of the Guys,English,6.5
Hokus pokus Albert Åberg,Norwegian,5.9
Summer in February,English,5.6
Narcos,"English, Spanish",8.8
Survivor,"English, Pushto, Mandarin",5.6
October Gale,English,5.2
Kabhi Khushi Kabhie Gham,"Hindi, English",7.4
"Justice, My Foot!","Cantonese, Mandarin",6.9
Disciples Of The 36th Chamber,"Cantonese, Mandarin",6.5
Captain Phillips,"English, Somali",7.8
The Code,English,7.4
W1A,English,7.8
"Love, Rosie",English,7.2
The Admiral: Roaring Currents,"Korean, Japanese, English, Hindi",7.1
Hereafter,"English, French, German",6.4
Heidi,"English, French, German, Italian",7.2
Colin Quinn: Unconstitutional,English,7.1
Demetri Martin: Live (At the Time),English,7.4
The Call,English,6.7
27 Dresses,English,6.1
Annabelle,English,5.4
All About Steve,"English, Spanish, French, American Sign Language",4.8
This Is Where I Leave You,"English, Hebrew",6.6
Project Mc²,English,6
Club de Cuervos,Spanish,8.2
Persona 3 the Movie: #2 Midsummer Knights Dream,Japanese,6.8
Yellowbird,English,5.5
Human Capital,"Italian, English",7.3
Kill Me Three Times,English,5.9
Accidental Love,"English, Portuguese",4.1
Playing for Keeps,English,5.7
Olympus Has Fallen,"English, Korean",6.5
Starship Troopers,English,7.2
Blue Crush,English,5.7
Odd Squad,English,6.5
Taking Lives,"English, French",6.3
Fletch,English,6.9
Electric Slide,English,4.7
Daylight,English,5.9
The Man from Nowhere,"Korean, English",7.8
SamSam,French,6.3
Russell Brand: From Addiction to Recovery,English,6.9
Paul,"English, Klingon",7
Fate/stay night: Unlimited Blade Works,"Japanese, English",8
Russell Brand: End the Drugs War,English,7.2
Curse of the Golden Flower,Mandarin,7
Birdman or (The Unexpected Virtue of Ignorance),English,7.7
Btooom!,"English, Japanese",7.1
The Rewrite,"English, French",6.2
Gotham,"English, Russian, Italian, French",7.9
Paris-Manhattan,French,6.1
Dragon Tiger Gate,Cantonese,6.2
The Princess of Montpensier,French,6.5
Toradora!,"Japanese, English",8
The Pixar Story,English,7.8
Mushi-Shi,Japanese,8.5
Pants on Fire,English,5.2
Vexed,English,7.3
Wet Hot American Summer,English,7.4
Election,"Cantonese, Mandarin, English",7.1
Behind the Candelabra,English,7
Pee-wees Big Adventure,"English, French",7
Kangaroo Jack,English,4.4
Son of a Gun,"English, Serbo-Croatian",6.4
Olympus,English,6.2
Martial Arts of Shaolin,Mandarin,6.5
Black or White,English,6.6
Clash of the Titans,English,6.9
The Brave One,English,6.7
Invaders from Mars,English,5.6
Grown Ups 2,"English, Spanish",5.4
Tig,English,7.4
Penguins of Madagascar: The Movie,"Spanish, Armenian, English, Italian, Mandarin",6.7
Senora Acero,"Spanish, English",7.2
Chica Vampiro,Spanish,4.1
Creep,English,6.3
2 Guns,"English, Spanish",6.7
Dolphin Tale 2,English,6.4
Chris Tucker Live,English,6.3
Serena,English,5.4
Monsters: Dark Continent,English,4.3
Smokey and the Bandit,English,7
Superfast!,English,4.1
Wild Wild West,English,5
Fracture,English,7.2
The Hundred-Foot Journey,"Hindi, English, French",7.3
The DUFF,"English, Spanish",6.5
Tie Me Up! Tie Me Down!,Spanish,7
Neighboring Sounds,"Portuguese, English, Mandarin, Persian",7.2
Mood Indigo,"French, English",6.5
Virunga: Gorillas in Peril,English,6.2
Zelary,"Czech, Russian, German",7.6
The Watch,English,5.7
Prometheus,"English, Scottish Gaelic",7
Take Me Home Tonight,English,6.3
Robin Hood: Men in Tights,English,6.7
The Fugitive,"English, Polish, Spanish",7.8
The Book of Life,"English, Spanish",7.3
The Wiggles,English,5.8
A River Runs Through It,English,7.2
The Net,"English, Spanish",6
The Concert,"French, Russian",7.6
Las munecas de la mafia,Spanish,6.6
Flashdance,English,6.2
You Got Served,English,3.9
El Cartel 2,"Spanish, English, Portuguese",6.9
The Maze Runner,English,6.8
The Drop,"English, Russian",7.1
The Replacements,"English, American Sign Language",6.6
Message in a Bottle,English,6.3
Somethings Gotta Give,"English, French",6.7
Naruto Shippuden the Movie: The Will of Fire,Japanese,7.2
Romeo Must Die,"English, Chinese",6.1
Mary Kom,Hindi,6.8
Almanya,"German, Turkish",7.2
NCIS,English,7.7
The Day My Butt Went Psycho!,English,3.1
Ralphie May: Imperfectly Yours,English,5.5
The Guest,English,6.7
Dragons: Race to the Edge,English,8
Hasee Toh Phasee,"Hindi, English, Chinese, Spanish",6.8
Beyond the Lights,English,6.9
After the Ball,"English, French, Italian",5.9
Hjordis,Danish,7.2
Song One,English,5.8
Sweet November,English,6.7
Osmosis Jones,English,6.3
Pay It Forward,English,7.2
Laggies,English,6.4
Advantageous,"English, French",6.1
White House Down,English,6.4
Jet Lis Fearless,English,5.9
The Runaways,English,6.5
Foxcatcher,"English, French",7
Gori Tere Pyaar Mein,"English, Hindi, Tamil, Gujarati",4.9
Outcast,English,4.6
The Opposite of Sex,English,6.3
Lee Daniels The Butler,English,7.2
Gukjeshijang,"Korean, English, German, Vietnamese",7.8
Nana,"Japanese, English",8.4
InuYasha,"Japanese, English",7.9
Kuroshitsuji,Japanese,8.2
Get Smart,"English, Russian, Punjabi, Arabic",6.5
Into the Storm,English,5.8
Johan Falk,Swedish,6.9
Red Dwarf,"English, Esperanto",8.4
Danger Mouse,English,7.4
Hawaizaada,Hindi,5.5
Bananas in Pyjamas,English,4.7
When Evening Falls on Bucharest or Metabolism,Romanian,6.2
The Cobbler,"English, Yiddish",5.8
"Men, Women and Children",English,6.7
This Is the End,"English, Spanish",6.6
Some Assembly Required,English,3.6
Puppy Patrol,Dutch,7.4
Oh No! Its an Alien Invasion,English,5.6
"Pablo Escobar, el patron del mal",Spanish,8.5
The Borrowers,English,5.9
Grace of Monaco,"English, French, Italian",5.7
The Unbeatables,"Spanish, English",6.5
The Expendables 3,"English, Romanian, Spanish",6.1
The Lost Boys: Special Edition,English,7.3
El Nino,"Spanish, Arabic, English",6.4
Sense8,English,8.3
Best of Me,English,6.7
Hector and the Search for Happiness,"English, French, German",7
The Island of Dr. Moreau: Directors Cut,English,5.9
Apocalypse Now Redux,"English, French, Vietnamese",8.4
Roman Holiday,"English, Italian, German",8
Pet Sematary,English,6.6
Los tiempos de Pablo Escobar,Spanish,6.7
Pet Sematary 2,English,4.9
That Awkward Moment,English,6.2
Puella Magi Madoka Magica the Movie: Beginnings,Japanese,7.7
Gone Girl,English,8.1
Puella Magi Madoka Magica the Movie: Eternal,Japanese,8
Expelled from Paradise,Japanese,6.7
The Adjustment Bureau,English,7
A Walk Among the Tombstones,"English, Spanish, Urdu, Russian",6.5
Casa Grande,"Portuguese, French",6.9
August: Osage County,English,7.2
Third Person,"English, Italian",6.3
Journey to the Center of the Earth,"English, Icelandic, Italian",5.8
Hot Girls Wanted,English,6.1
Before I Go to Sleep,English,6.4
Jen Kirkman: Im Gonna Die Alone (And I Feel Fine),English,6.8
Sphere,English,6.1
The Ant Bully,English,5.8
Bait,English,5.8
The Woman in Black 2: Angel of Death,English,4.8
The Prince,English,4.6
Teenage Mutant Ninja Turtles,"English, Japanese",5.8
Between,English,6
The Hunger Games: Mockingjay - Part 1,English,6.6
Zombeavers,English,4.8
Girlhood,French,6.9
The Lucky One,English,6.5
The Imitation Game,"English, German",8
Catfish,English,7.1
Tinker Bell and the Legend of the NeverBeast,English,7.2
Sin-ui Hansu,"Korean, Hindi",6.7
Young and Hungry,English,7.4
When Calls the Heart,English,8.2
Fists of Legend,Korean,6.8
Gladiatori di Roma,"English, Italian",5.2
Bullet to the Head,English,5.7
Rush Hour 3,"English, French, Japanese, Mandarin, Latin",6.2
Rush Hour 2,"English, Mandarin, Cantonese",6.6
[REC] 4: Apocalipsis,Spanish,5.3
Elysium,"English, Spanish, French, Afrikaans, Ukrainian",6.6
Tammy,English,4.9
Blended,English,6.5
Warm Bodies,English,6.8
Schitts Creek,English,8.5
K,Japanese,7.2
The Longest Week,"English, French, German",5.4
The Homesman,"English, Danish",6.6
The Worlds End,English,7
D.L. Hughley: Clear,English,6.8
Dawn of the Planet of the Apes,"English, American Sign Language",7.6
42,English,7.5
Saturday Night Fever,"English, Italian",6.8
The Blues Brothers,English,7.9
Assassins,"English, Dutch, Spanish",6.4
Yoko,German,4.5
Les Dalton,French,3.3
About Time,English,7.8
Legend of the Guardians: The Owls of GaHoole,English,6.9
Swordfish,"English, German",6.5
Dumb and Dumberer: When Harry Met Lloyd,English,3.4
Mother Goose Club,English,7.4
The Killer,"Cantonese, Mandarin, Japanese",7.8
"For a Good Time, Call...",English,6
Left Behind,English,3.1
Sherlock Holmes: A Game of Shadows,"English, French, Italian, German, Romany",7.5
Mars Attacks!,"English, French",6.3
Zodiac,English,7.7
